,school_name,school_slug,season,ranker,team_game_num_season,date,game_location,opp_name_abbr,game_type,team_game_result,team_game_score,opp_team_game_score,overtimes,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,Abilene Christian,abilene-christian,2024,1,1,2023-11-06,@,Oklahoma State,REG (Non-Conf),W,64,59,,26,57,0.456,5,18,0.278,21,39,0.538,0.5,7,11,0.636,7,25,32,13,4,1,15,18,23,56,0.411,5,23,0.217,18,33,0.545,0.455,8,20,0.4,6,26,32,13,9,2,12,16,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
1,Abilene Christian,abilene-christian,2024,2,2,2023-11-10,@,NC State,REG (Non-Conf),L,64,84,,20,57,0.351,5,17,0.294,15,40,0.375,0.395,19,27,0.704,14,20,34,12,4,3,11,19,29,62,0.468,6,22,0.273,23,40,0.575,0.516,20,24,0.833,12,22,34,12,4,3,7,20,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
2,Abilene Christian,abilene-christian,2024,3,3,2023-11-14,,Prairie View A&M,REG (Non-Conf),L,74,79,,23,60,0.383,5,19,0.263,18,41,0.439,0.425,23,29,0.793,13,21,34,9,8,1,14,25,21,49,0.429,4,10,0.4,17,39,0.436,0.469,33,34,0.971,8,26,34,7,8,5,14,23,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
3,Abilene Christian,abilene-christian,2024,4,4,2023-11-17,N,San Jose State,REG (Non-Conf),W,77,71,,25,59,0.424,7,15,0.467,18,44,0.409,0.483,20,26,0.769,7,20,27,13,1,3,5,14,28,61,0.459,8,25,0.32,20,36,0.556,0.525,7,12,0.583,9,26,35,13,4,3,6,18,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
4,Abilene Christian,abilene-christian,2024,5,5,2023-11-19,N,Fordham,REG (Non-Conf),W,59,45,,22,55,0.4,3,12,0.25,19,43,0.442,0.427,12,17,0.706,6,23,29,9,11,1,9,19,16,54,0.296,1,12,0.083,15,42,0.357,0.306,12,21,0.571,16,25,41,3,5,3,19,16,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
5,Abilene Christian,abilene-christian,2024,6,6,2023-11-20,N,Missouri State,REG (Non-Conf),L,69,87,,25,59,0.424,7,16,0.438,18,43,0.419,0.483,12,19,0.632,5,16,21,12,11,2,12,22,30,52,0.577,7,18,0.389,23,34,0.676,0.644,20,27,0.741,8,31,39,16,5,3,15,18,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
6,Abilene Christian,abilene-christian,2024,7,7,2023-11-29,@,UT Arlington,REG (Conf),L,71,86,,25,55,0.455,8,17,0.471,17,38,0.447,0.527,13,19,0.684,5,17,22,20,11,1,15,22,27,47,0.574,12,22,0.545,15,25,0.6,0.702,20,28,0.714,5,24,29,25,9,4,17,18,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
7,Abilene Christian,abilene-christian,2024,8,8,2023-12-02,,Stephen F. Austin,REG (Conf),L,74,79,OT,21,55,0.382,4,17,0.235,17,38,0.447,0.418,28,35,0.8,3,23,26,9,15,2,22,24,26,57,0.456,8,22,0.364,18,35,0.514,0.526,19,29,0.655,11,32,43,8,8,5,28,26,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
8,Abilene Christian,abilene-christian,2024,9,9,2023-12-06,,Northern Arizona,REG (Non-Conf),L,76,78,,23,60,0.383,5,19,0.263,18,41,0.439,0.425,25,31,0.806,9,19,28,9,12,1,10,18,28,57,0.491,6,18,0.333,22,39,0.564,0.544,16,20,0.8,10,31,41,13,5,4,21,26,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
9,Abilene Christian,abilene-christian,2024,10,10,2023-12-10,,Howard Payne,REG (Non-Conf),W,120,69,,46,76,0.605,8,25,0.32,38,51,0.745,0.658,20,32,0.625,16,41,57,32,8,0,17,24,24,66,0.364,8,25,0.32,16,41,0.39,0.424,13,25,0.52,5,18,23,9,9,1,18,23,1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10.0,10.0,,8,6,,5,10,,2452,2500,,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
