,school_name,school_slug,season,ranker,team_game_num_season,date,game_location,opp_name_abbr,game_type,team_game_result,team_game_score,opp_team_game_score,overtimes,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
71,Akron,akron,2023,10,10,2022-12-14,,Wright State,REG (Non-Conf),W,66,54,,25,62,0.403,6,26,0.231,19,36,0.528,0.452,10,14,0.714,9,30,39,11,10,2,11,16,23,63,0.365,3,10,0.3,20,53,0.377,0.389,5,8,0.625,8,24,32,10,3,4,14,17
72,Akron,akron,2023,11,11,2022-12-19,,Maine,REG (Non-Conf),W,87,55,,31,57,0.544,11,20,0.55,20,37,0.541,0.64,14,16,0.875,9,25,34,17,10,2,16,12,20,46,0.435,8,20,0.4,12,26,0.462,0.522,7,12,0.583,3,13,16,11,10,0,22,17
73,Akron,akron,2023,12,12,2022-12-22,@,Bradley,REG (Non-Conf),L,55,74,,16,57,0.281,8,21,0.381,8,36,0.222,0.351,15,18,0.833,10,29,39,6,5,2,15,12,27,64,0.422,14,30,0.467,13,34,0.382,0.531,6,9,0.667,8,29,37,16,9,4,8,19
74,Akron,akron,2023,13,13,2022-12-30,,Concord,REG (Non-Conf),W,84,58,,27,59,0.458,12,31,0.387,15,28,0.536,0.559,18,28,0.643,9,29,38,21,7,2,10,14,23,59,0.39,4,17,0.235,19,42,0.452,0.424,8,11,0.727,7,22,29,8,6,2,17,21
75,Akron,akron,2023,14,14,2023-01-03,,Northern Illinois,REG (Conf),W,76,51,,26,57,0.456,6,20,0.3,20,37,0.541,0.509,18,23,0.783,8,23,31,11,7,4,12,19,18,51,0.353,2,15,0.133,16,36,0.444,0.373,13,18,0.722,10,18,28,5,5,4,17,24
76,Akron,akron,2023,15,15,2023-01-06,@,Ball State,REG (Conf),L,63,70,,19,49,0.388,3,12,0.25,16,37,0.432,0.418,22,26,0.846,9,22,31,3,6,3,16,26,23,58,0.397,3,14,0.214,20,44,0.455,0.422,21,28,0.75,15,17,32,6,7,6,10,18
77,Akron,akron,2023,16,16,2023-01-10,@,Bowling Green,REG (Conf),W,74,70,,25,62,0.403,11,30,0.367,14,32,0.438,0.492,13,14,0.929,8,24,32,14,7,3,9,12,26,53,0.491,10,21,0.476,16,32,0.5,0.585,8,13,0.615,3,29,32,15,6,3,12,17
78,Akron,akron,2023,17,17,2023-01-13,,Eastern Michigan,REG (Conf),W,104,67,,34,63,0.54,10,33,0.303,24,30,0.8,0.619,26,32,0.813,8,33,41,22,2,1,7,18,20,57,0.351,5,23,0.217,15,34,0.441,0.395,22,26,0.846,2,21,23,7,5,1,7,20
79,Akron,akron,2023,18,18,2023-01-17,@,Central Michigan,REG (Conf),W,69,51,,23,55,0.418,8,26,0.308,15,29,0.517,0.491,15,22,0.682,6,25,31,13,7,2,9,19,16,47,0.34,8,20,0.4,8,27,0.296,0.426,11,16,0.688,6,24,30,9,3,5,15,18
80,Akron,akron,2023,19,19,2023-01-21,@,Western Michigan,REG (Conf),W,63,55,,23,63,0.365,8,35,0.229,15,28,0.536,0.429,9,12,0.75,6,23,29,9,8,5,3,16,21,55,0.382,5,20,0.25,16,35,0.457,0.427,8,12,0.667,9,29,38,15,2,3,14,19
81,Akron,akron,2023,20,20,2023-01-24,,Miami (OH),REG (Conf),W,73,68,,23,53,0.434,12,32,0.375,11,21,0.524,0.547,15,17,0.882,10,18,28,14,1,3,9,20,24,46,0.522,6,17,0.353,18,29,0.621,0.587,14,20,0.7,6,16,22,10,4,0,9,22
